,var1(t-1),var2(t-1),var3(t-1),var4(t-1),var1(t)
302,0.46540877,0.072289154,0.2469136,0.6231003,0.5345912
303,0.5345912,0.06024096,0.2345679,0.662614,0.38364777
304,0.38364777,0.04819277,0.17283951,0.58358663,0.30188677
305,0.30188677,0.06024096,0.27160496,0.544073,0.3207547
306,0.3207547,0.057228915,0.23765431,0.55319154,0.33962262
307,0.33962262,0.05421686,0.20370372,0.56231004,0.35849056
308,0.35849056,0.051204816,0.16975309,0.5714286,0.37735847
309,0.37735847,0.04819277,0.13580246,0.5805471,0.2327044
310,0.2327044,0.09638554,0.18518518,0.5106383,0.26415092
311,0.26415092,0.072289154,0.16049384,0.5258359,0.36477986
312,0.36477986,0.14457831,0.27160496,0.57446814,0.36006287
313,0.36006287,0.13253012,0.2345679,0.5721885,0.3553459
314,0.3553459,0.12048192,0.19753085,0.56990886,0.3506289
315,0.3506289,0.10843372,0.16049384,0.5676292,0.34591192
316,0.34591192,0.09638554,0.12345679,0.5653496,0.29559746
317,0.29559746,0.036144577,0.074074075,0.54103345,0.39622638
318,0.39622638,0.08433735,0.27160496,0.58966565,0.5974843
319,0.5974843,0.09638554,0.27160496,0.7082067,0.5597484
320,0.5597484,0.06024096,0.2345679,0.6808511,0.5849057
321,0.5849057,0.04819277,0.18518518,0.69908816,0.45597485
322,0.45597485,0.036144577,0.13580246,0.41489363,0.327044
323,0.327044,0.024096385,0.08641975,0.556231,0.100628935
324,0.100628935,0.012048192,0.061728403,0.44680852,0.025157236
325,0.025157236,0.012048192,0.012345687,0.41033435,0.22641507
326,0.22641507,0.46987948,0.03703703,0.3981763,0.22012576
327,0.22012576,0.036144577,0.11111112,0.5045593,0.1802935
328,0.1802935,0.032128513,0.10699588,0.48530903,0.1404612
329,0.1404612,0.028112449,0.10288067,0.4660588,0.100628935
330,0.100628935,0.024096385,0.09876543,0.44680852,0.11949686
331,0.11949686,0.024096385,0.09876543,0.45592707,0.13207546
332,0.13207546,0.012048192,0.074074075,0.4620061,0.19496855
333,0.19496855,0.06024096,0.18518518,0.49240124,0.24528301
334,0.24528301,0.06024096,0.2345679,0.5167173,0.100628935
335,0.100628935,0.024096385,0.09876543,0.44680852,0.2578616
336,0.2578616,0.042168677,0.13580246,0.5227964,0.41509435
337,0.41509435,0.06024096,0.17283951,0.5987842,0.35849056
338,0.35849056,0.04819277,0.13580246,0.5714286,0.14465407
339,0.14465407,0.036144577,0.14814816,0.4680851,0.11320754
340,0.11320754,0.024096385,0.12345679,0.45288754,0.2578616
341,0.2578616,0.06024096,0.2469136,0.5227964,0.100628935
342,0.100628935,0.024096385,0.11111112,0.44680852,0.09433962
343,0.09433962,0.030120477,0.10493827,0.443769,0.08805031
344,0.08805031,0.036144577,0.09876543,0.4407295,0.08176101
345,0.08176101,0.07078313,0.08641975,0.4331307,0.07547169
346,0.07547169,0.10542168,0.074074075,0.42553192,0.06918239
