,date,so2,no2,RSPM,AQI
457,2010-10-27,6.0,19.0,39.0,39.0
458,2010-10-28,5.0,17.0,35.0,35.0
459,2010-10-29,6.5,22.5,39.5,39.5
460,2010-10-30,8.0,28.0,44.0,44.0
461,2010-10-31,7.5,25.0,40.0,40.0
462,2010-11-01,7.0,22.0,36.0,36.0
463,2010-11-02,6.0,17.0,40.0,40.0
464,2010-11-03,8.0,29.0,41.0,41.0
465,2010-11-04,6.0,24.0,39.0,39.0
466,2010-11-05,16.0,38.0,-143.0,129.0
467,2010-11-06,12.0,36.0,-175.0,150.0
468,2010-11-07,9.0,39.0,77.0,77.0
469,2010-11-08,7.0,23.0,58.0,58.0
470,2010-11-09,6.0,19.0,52.0,52.0
471,2010-11-10,7.0,23.0,58.0,58.0
472,2010-11-11,8.0,25.0,62.0,62.0
473,2010-11-12,9.0,28.0,-104.0,103.0
474,2010-11-13,8.0,24.0,98.0,98.0
475,2010-11-14,7.0,22.0,69.5,69.5
476,2010-11-15,6.0,20.0,41.0,41.0
477,2010-11-16,8.0,20.0,51.0,51.0
478,2010-11-17,10.0,21.0,59.0,59.0
479,2010-11-18,9.5,25.0,47.5,47.5
480,2010-11-19,9.0,29.0,36.0,36.0
481,2010-11-20,9.0,26.0,33.0,33.0
482,2010-11-21,9.5,30.5,61.0,61.0
483,2010-11-22,10.0,35.0,89.0,89.0
484,2010-11-23,7.0,28.0,57.0,57.0
485,2010-11-24,5.0,11.0,49.0,49.0
486,2010-11-25,8.0,25.0,74.0,74.0
487,2010-11-26,10.0,38.0,88.0,88.0
488,2010-11-27,11.0,39.0,81.0,81.0
489,2010-11-28,9.0,32.5,74.0,74.0
490,2010-11-29,7.0,26.0,67.0,67.0
491,2010-11-30,11.0,38.0,77.0,77.0
492,2010-12-01,6.0,19.0,45.0,45.0
493,2010-12-02,9.0,30.0,85.0,85.0
494,2010-12-03,7.0,26.0,55.0,55.0
495,2010-12-04,10.0,36.0,85.0,85.0
496,2010-12-05,8.5,30.0,69.5,69.5
497,2010-12-06,7.0,24.0,54.0,54.0
498,2010-12-07,7.0,28.0,89.0,89.0
499,2010-12-08,6.0,18.0,38.0,38.0
500,2010-12-09,8.0,31.0,79.0,79.0
501,2010-12-10,9.0,31.0,75.0,75.0
502,2010-12-11,9.0,30.0,72.0,72.0
503,2010-12-12,8.0,27.0,67.5,67.5
504,2010-12-13,7.0,24.0,63.0,63.0
505,2010-12-14,6.0,19.0,48.0,48.0
506,2010-12-15,9.0,34.0,73.0,73.0
507,2010-12-16,7.0,13.0,24.0,24.0
508,2010-12-17,12.0,44.0,54.0,55.0
509,2010-12-18,11.333333333333334,41.0,53.333333333333336,54.0
510,2010-12-19,10.666666666666666,38.0,52.666666666666664,53.0
511,2010-12-20,10.0,35.0,52.0,52.0
512,2010-12-21,6.0,20.0,47.0,47.0
513,2010-12-22,11.0,38.0,79.0,79.0
514,2010-12-23,11.0,42.0,71.0,71.0
515,2010-12-24,10.0,33.0,69.0,69.0
516,2010-12-25,11.0,-398.0,62.0,398.0
517,2010-12-26,8.0,-190.5,47.5,215.5
518,2010-12-27,5.0,17.0,33.0,33.0
519,2010-12-28,9.0,28.0,67.0,67.0
520,2010-12-29,9.0,21.0,47.0,47.0
521,2010-12-30,7.5,24.0,50.0,50.0
522,2010-12-31,6.0,27.0,53.0,53.0
523,2011-01-01,9.0,32.0,85.0,85.0
524,2011-01-02,7.5,26.5,69.5,69.5
525,2011-01-03,6.0,21.0,54.0,54.0
